State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Markapuram,790,Cumbum,5117,Yerrabalem,యర్రబాలె౦,authoritative,590883,523336,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Kaluvoya,5174,Yerraballe,యెర్రబల్లె,transliterated,591995,524343,,
Andhra Pradesh,Y.S.R. Kadapa,504,Atlur,5227,Yerraballe,యెర్రబల్లె,transliterated,593347,516501,,
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Yerrabanda,యెర్రబంద,transliterated,585312,531111,,
Andhra Pradesh,Anakapalli,744,Rolugunta,4855,Yerrabhupalapatnam,యర్రభూపాలపట్నం,transliterated,585815,531118,,
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Yerrabilli,యెర్రబిల్లి,transliterated,585709,531087,,
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Yerrabommalu,యెర్రబొమ్మలు,transliterated,585281,531111,,
Andhra Pradesh,Sri Sathya Sai,754,Madakasira,5350,Yerrabommanahalli,యెర్రబొమ్మనహళ్లి,authoritative,595362,515301,,
Andhra Pradesh,Polavaram,791,Yetapaka,6063,Yerraboru,ఎర్రబోరు,authoritative,579033,533351,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Kondapuram,5156,Yerrabotlapalle,యెర్రబొట్లపల్లె,transliterated,591689,524221,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Yerracheruvulu,యెర్రచెరువులు,transliterated,585494,531133,,
Andhra Pradesh,Kurnool,511,Kodumur,5269,Yerradoddi,ఎర్రదొడ్డి,authoritative,594046,518467,,
Andhra Pradesh,Sri Sathya Sai,754,Kadiri,5343,Yerradoddi,ఎర్రదొడ్డి,authoritative,595254,515541,,
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Yerragonda,యెర్రగొండ,transliterated,585564,531087,,
Andhra Pradesh,Markapuram,790,Yerragondapalem,5097,Yerragonda Palem,యర్రగొండపాలెం,authoritative,590531,523327,,
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Yerragoppu,యెర్రగొప్పు,authoritative,584854,531029,,
Andhra Pradesh,Polavaram,791,Gurthedu,7562,Yerragoppula,యెర్రగొప్పుల,transliterated,586673,533428,,
Andhra Pradesh,Y.S.R. Kadapa,504,Kondapuram,5199,Yerragudi,యెర్రగుడి,authoritative,592796,516474,,
Andhra Pradesh,Nandyal,755,Banaganapalli,5288,Yerragudi,యెర్రగుడి,authoritative,594357,518124,,
Andhra Pradesh,Ananthapuramu,502,Beluguppa,5318,Yerragudi,యెర్రగుడి,authoritative,594909,515741,,
Andhra Pradesh,Prakasam,517,Chimakurthy,5128,Yerragudipadu,యెర్రగుడిపాడు,authoritative,591075,523225,,
Andhra Pradesh,Y.S.R. Kadapa,504,Kamalapuram,5224,Yerragudipadu,యెర్రగుడిపాడు,authoritative,593298,516289,,
Andhra Pradesh,Y.S.R. Kadapa,504,Pulivendula,5219,Yerragudipalle,యెర్రగుడిపల్లె,transliterated,930430,516391,,
Andhra Pradesh,Nandyal,755,Sirvel,5286,Yerragundla,యెర్రగుంట్ల,authoritative,594340,518510,,
Andhra Pradesh,Polavaram,791,Yetapaka,6063,Yerragunta,యెర్రగుంట,authoritative,579052,533351,,
Andhra Pradesh,Tirupati,752,Pellakur,5195,Yerragunta,యెర్రగుంట,authoritative,592676,524126,,
Andhra Pradesh,Ananthapuramu,502,Kanekal,5306,Yerragunta,యెర్రగుంట,authoritative,594674,515871,,
Andhra Pradesh,Ananthapuramu,502,Rapthadu,5331,Yerragunta,యెర్రగుంట,authoritative,595109,515722,,
Andhra Pradesh,Tirupati,752,Obulavaripalle,5248,Yerraguntakota,యెర్రగుంటకోట,authoritative,593705,516108,,
Andhra Pradesh,Markapuram,790,Ardhaveedu,5116,Yerraguntla,యర్రగుంట్ల,authoritative,590879,523333,,
Andhra Pradesh,Nandyal,755,Bandi Atmakur,5283,Yerraguntla,యర్రగుంట్ల,authoritative,594294,518523,,
Andhra Pradesh,Y.S.R. Kadapa,504,Yerraguntla,5223,Yerraguntla (Ct),యెర్రగుంట్ల (సీటీ),transliterated,593289,516309,,
Andhra Pradesh,Y.S.R. Kadapa,504,Proddutur,5214,Yerraguntlapalle,యెర్రగుంట్లపల్లె,authoritative,593132,516362,,
Andhra Pradesh,Annamayya,753,Pileru,5386,Yerraguntlapalle,యెర్రగుంట్లపల్లె,authoritative,596059,517214,,
Andhra Pradesh,Alluri Sitharama Raju,745,Ananthagiri,4845,Yerraguppa,యెర్రగుప్ప,transliterated,584400,531151,,
